account,order_number,order_full,item_id,title,item_url,qty_sold,qty_sold_original,line_instance,qty_available,price,price_text
primary,,,356712908363,NEC PC-8201 Portable Computer Vintage Service Manual,https://www.ebay.com/itm/356712908363,1,356712908363,1,,21.87,$21.87
primary,,,357539408133,Tesla Model Y Owner's Manual 2020-2024,https://www.ebay.com/itm/357539408133,1,1,1,0,33.02,$33.02
primary,,,356149077569,Brother XR1355 Instruction Manual,https://www.ebay.com/itm/356149077569,1,1,1,0,20.49,$20.49
primary,,,357641329647,Icom IC-746PRO Instruction manual 116 pages,https://www.ebay.com/itm/357641329647,1,1,1,0,25.65,$25.65
primary,,,356122547605,Operation Manual for Humminbird Helix 5 and 7,https://www.ebay.com/itm/356122547605,1,1,1,4,28.90,$28.90
primary,,,358176659746,Kubota B2410 B2710 B2910 B7800H Workshop Service Manual,https://www.ebay.com/itm/358176659746,1,,1,,40.50,$40.50
primary,,,356122547605,Operation Manual for Humminbird Helix 5 and 7,https://www.ebay.com/itm/356122547605,1,1,1,4,28.90,$28.90
secondary,,,204888775257,Manual for Hewlett Packard HP 42S Calculator: Mechanical engineering,https://www.ebay.com/itm/204888775257,1,1,1,1,25.00,$25.00
