account,order_number,order_full,item_id,title,item_url,qty_sold,qty_available,price,price_text
secondary,14144-47046,11-14144-47046,204939852688,Repair Kit Flexible Circuit For HP 41CV CX Calculator Battery Bay With Manual,https://www.ebay.com/itm/204939852688,1,1,53.00,$53.00
secondary,14146-55752,08-14146-55752,205835500613,Manual for Hewlett Packard HP 50G Calculator mini format,https://www.ebay.com/itm/205835500613,,,39.00,$39.00
secondary,14139-67367,13-14139-67367,205844733568,Manual for Hewlett Packard HP-12C Calculator: Solutions Handbook - Half-Letter,https://www.ebay.com/itm/205844733568,,,35.00,$35.00
secondary,14150-30425,04-14150-30425,204968580883,Texas Instruments TI Nspire CX CAS manual: Getting started,https://www.ebay.com/itm/204968580883,1,1,25.00,$25.00
secondary,14149-46709,04-14149-46709,204582411612,Manual for HP 12C Calculator: The HP 12C Made Easy,https://www.ebay.com/itm/204582411612,1,1,37.05,$37.05
secondary,14146-17299,04-14146-17299,204889476788,Manual for Hewlett Packard HP-12C Calculator: Solutions Handbook,https://www.ebay.com/itm/204889476788,1,1,35.00,$35.00
secondary,14136-09595,10-14136-09595,204896414552,Manual for Hewlett Packard HP 12C Platinum : Solutions Handbook,https://www.ebay.com/itm/204896414552,1,1,40.00,$40.00
secondary,14113-85113,25-14113-85113,204580983480,Manual for Hewlett Packard WP-34S Calculator,https://www.ebay.com/itm/204580983480,1,1,35.00,$35.00
secondary,14122-28855,17-14122-28855,204963822408,HP 12C Platinum Owner’s Handbook and Problem-Solving Guide,https://www.ebay.com/itm/204963822408,1,1,40.00,$40.00
secondary,14125-85910,10-14125-85910,204974771045,"Manual for HP 28C | HP 28S calculator, Step-by-Step Solutions:",https://www.ebay.com/itm/204974771045,1,1,17.00,$17.00
secondary,14125-95614,06-14125-95614,204089178000,Manual for Hewlett Packard HP 34C Calculator,https://www.ebay.com/itm/204089178000,1,1,45.00,$45.00
secondary,14128-10752,01-14128-10752,205384837617,Owner Manual for HP-87 Vintage Computer,https://www.ebay.com/itm/205384837617,1,1,19.00,$19.00
secondary,14100-98464,18-14100-98464,205360865974,Texas Instruments TI Nspire / TI Nspire CAS manual : Getting started,https://www.ebay.com/itm/205360865974,1,1,25.00,$25.00
secondary,,,204968594594,Texas Instruments TI 84 Plus CE calculator Getting started Manual,https://www.ebay.com/itm/204968594594,1,1,17.00,$17.00
secondary,14087-69851,27-14087-69851,205822729641,HP 71B Calculator: HP82490A HP-41 Translator Pac Module & Owner's Manual,https://www.ebay.com/itm/205822729641,,,360.00,$360.00
