account,order_number,order_full,item_id,title,item_url,qty_sold,qty_sold_original,line_instance,qty_available,price,price_text
primary,,,357675456168,Rotax Racing Kart Operator manual for 125 Senior Junior Max Mini Micro Evo,https://www.ebay.com/itm/357675456168,1,1,1,0,,
primary,,,357675473140,Racing Kart IAME X30 Asembly Instructions and User Manual,https://www.ebay.com/itm/357675473140,1,1,1,0,,
primary,,,357679717791,"ICOM IC-7300 Transceiver Basic User Manual, 80 pages",https://www.ebay.com/itm/357679717791,1,1,1,0,18.90,$18.90
primary,,,356885714929,"Operation Manual for Humminbird Xplore, Apex and Solix",https://www.ebay.com/itm/356885714929,1,1,1,0,27.90,$27.90
primary,,,356085408716,Nikon D5600 User Manual,https://www.ebay.com/itm/356085408716,1,1,1,1,16.34,$16.34
